"Code","Description","Version"
"20.18","Ear, nose and throat (ENT)","5.0"
"20.19","Respiratory","5.0"
"20.20","Respiratory cystic fibrosis","5.0"
"20.21","Anti-coagulant Screening and Management","5.0"
"20.22","Cardiology","5.0"
"20.23","Cardiothoracic","5.0"
"20.24","Vascular surgery","5.0"
"20.25","Gastroenterology","5.0"
"20.26","Hepatobiliary","5.0"
"20.27","Craniofacial","5.0"
"20.28","Metabolic bone","5.0"
"20.29","Orthopaedics","5.0"
"20.30","Rheumatology","5.0"
"20.31","Spinal","5.0"
"20.32","Breast","5.0"
"20.33","Dermatology","5.0"
"20.34","Endocrinology","5.0"
"20.35","Nephrology","5.0"
"20.36","Urology","5.0"
"20.37","Assisted reproductive technology","5.0"
"20.38","Gynaecology","5.0"
"20.39","Gynaecological oncology","5.0"
"20.40","Obstetrics management of pregnancy without complications","5.0"
"20.41","Immunology","5.0"
"20.42","Medical oncology consultation","5.0"
"20.43","Radiation therapy consultation","5.0"
"20.44","Infectious diseases","5.0"
"20.45","Psychiatry","5.0"
"20.46","Plastic and reconstructive surgery","5.0"
"20.47","Rehabilitation","5.0"
"20.48","Multidisciplinary burns clinic","5.0"
"20.49","Geriatric evaluation and management (GEM)","5.0"
"20.50","Psychogeriatric","5.0"
"20.51","Sleep disorders","5.0"
"20.52","Addiction medicine","5.0"
"20.53","Obstetrics management of complex pregnancy","5.0"
"20.54","Maternal fetal medicine","5.0"
"20.55","Telehealth patient location","5.0"
"30.01","General imaging","5.0"
"30.02","Magnetic resonance imaging (MRI)","5.0"
"30.03","Computerised tomography (CT)","5.0"
"30.04","Nuclear medicine","5.0"
"40.05","Hydrotherapy","5.0"
"40.06","Occupational therapy","5.0"
"40.07","Pre-admission and pre-anaesthesia","5.0"
"40.08","Primary health care","5.0"
"40.09","Physiotherapy","5.0"
"40.10","Sexual health","5.0"
"40.11","Social work","5.0"
"40.12","Rehabilitation","5.0"
"40.13","Wound management","5.0"
"40.14","Neuropsychology","5.0"
"40.15","Optometry","5.0"
"40.16","Orthoptics","5.0"
"40.17","Audiology","5.0"
"40.18","Speech pathology","5.0"
"40.21","Cardiac rehabilitation","5.0"
"40.22","Stomal therapy","5.0"
"40.23","Nutrition/dietetics","5.0"
"40.24","Orthotics","5.0"
"40.25","Podiatry","5.0"
"40.27","Family planning","5.0"
"40.28","Midwifery and maternity","5.0"
"40.29","Psychology","5.0"
"40.30","Alcohol and other drugs","5.0"
"40.31","Burns","5.0"
"40.32","Continence","5.0"
"40.33","General counselling","5.0"
"40.34","Specialist mental health","5.0"
"40.35","Palliative care","5.0"
"20.18","Ear, nose and throat (ENT)","5"
"20.19","Respiratory","5"
"40.36","Geriatric evaluation and management (GEM)","5.0"
"40.37","Psychogeriatric","5.0"
"40.38","Infectious diseases","5.0"
"40.39","Neurology","5.0"
"40.40","Respiratory","5.0"
"40.41","Gastroenterology","5.0"
"40.42","Circulatory","5.0"
"40.43","Hepatobiliary","5.0"
"40.44","Orthopaedics","5.0"
"40.45","Dermatology","5.0"
"40.46","Endocrinology","5.0"
"40.47","Nephrology","5.0"
"40.48","Haematology and immunology","5.0"
"40.49","Gynaecology","5.0"
"40.50","Urology","5.0"
"40.51","Breast","5.0"
"40.52","Oncology","5.0"
"40.53","General medicine","5.0"
"40.54","General surgery","5.0"
"40.55","Paediatrics","5.0"
"40.56","Falls prevention","5.0"
"40.57","Cognition and memory","5.0"
"40.58","Hospital avoidance programs","5.0"
"40.59","Post-acute care","5.0"
"40.60","Pulmonary rehabilitation","5.0"
"40.61","Telehealth patient location","5.0"
"20.56","Multidisciplinary case conference - patient not present","5.0"
"40.62","Multidisciplinary case conference - patient not present","5.0"
"40.34-L","Research","4.1"
"40.34-L","Research","5.0"
"090","Adm_T4_Psych illness","1.4"
"091","Adm_T5_All oth MDB groups 2","1.4"
"092","Adm_T5_Injury","1.4"
"093","Adm_T5_GastroSys Illness","1.4"
"094","Adm_T5_Psych illness","1.4"
"095","N-A_T2_RespSys Illness","1.4"
"096","N-A_T2_Urolsys illness","1.4"
"097","N-A_T2_GastroSys Illness","1.4"
"098","N-A_T2_Neurol illness","1.4"
"099","N-A_T2_Blood/immsys illness","1.4"
"0E1","Er-Epi End Not=1-7","1.4"
"0E2","Er-Tr Not=1-5","1.4"
"0E3","Er-Blank Diag Code","1.4"
"0E4","Error Invalid or unspecified diagnosis classification type","1.4"
"0E5","Error Diagnosis code No MDB map","1.4"
"0E6","Error visit type not =1-5","1.4"
"0E7","Error Sex code not consistent with diagnosis code","1.4"
"0E8","Error Diagnosis code not recognised","1.4"
"100","N-A_T2_Psych illness","1.4"
"101","N-A_T3_Poisoning ","1.4"
"102","N-A_T3_Tox Effs Drug","1.4"
"103","N-A_T3_Illness of eyes","1.4"
"104","N-A_T3_Blood/immsys illness","1.4"
"105","N-A_T3_Psych illness","1.4"
"106","N-A_T4_Poisoning","1.4"
"107","N-A_T4_Tox Effs Drug","1.4"
"108","N-A_T4_RespSys Illness","1.4"
"109","N-A_T4_Blood/immsys illness","1.4"
"110","N-A_T4_Obs & NB/Neonate","1.4"
"111","N-A_T4_Gyn/Male sys illness","1.4"
"112","N-A_T4_Psych illness","1.4"
"113","N-A_T5_CircSys Illness","1.4"
"114","N-A_T5_GastroSys Illness","1.4"
"115","N-A_T5_Illness of the eyes, ENT","1.4"
"116","N-A_T5_Illness of the skin","1.4"
"117","N-A_T5_Blood/immsys illness","1.4"
"118","N-A_T5_Obs & NB/Neonate","1.4"
"04","Adm_T4","1.3"
"05","Adm_T5","1.3"
"06","N-A_T1","1.3"
"07","N-A_T2","1.3"
"08","N-A_T3","1.3"
"09","N-A_T4","1.3"
"10","N-A_T5","1.3"
"11","Did Not Wait","1.3"
"12","Dead On Arrival","1.3"
"13","Transfer","1.3"
"14","Died in emergency department","1.3"
"15","Adm_Return visit, planned w any Triage","1.3"
"16","N-A Return visit, planned Triage 1, 2, 3","1.3"
"17","N-A Return visit, planned Triage 4,5","1.3"
"E1","Invalid/missing Episode End Status","1.3"
"E2","Invalid/missing Triage","1.3"
"40.34-X","Extended Clinical","5.0"
"40.34-Y","Early Intervention Psychosis","5.0"
"40.34-ZZ","Ungroupable - NonAdmitted MH","5.0"
"10.01","Hyperbaric medicine","5.0"
"10.02","Interventional imaging","5.0"
"10.03","Minor surgical","5.0"
"10.04","Dental","5.0"
"10.05","Angioplasty/angiography","5.0"
"10.06","Endoscopy gastrointestinal","5.0"
