DRG_VERSION,DRG_CODE,NURSEUC,ONE,CritUC,ORPUBUC,PROSPUBUC,SUPPLYUC,ALLIEDUC,OTUC,PHYSIOUC,SPTHERUC,NUTRDIETUC,SOCIALWUC,GENRADUC,PharmUC,CLINLABUC,ALLIEDC,PHYSIOC,OTC,SPTHERC,NUTRDIETC,SOCIALWC,SUPPLYC,RADC,INTERRADC,ANGIOC,ULTSNDC,NUCMEDC,MRIC,CTC,GENRADC,PHARMSTR,PROSPUBC,CLINLABC,ORPUBC,ORPUBXMC,CCU,ICU,NICU,NURSEUC_SA,snapallied,snappath,snapimag,snapnurse,snapdrugs,snapsupply,snapother,HITHNURSE,HITHALLIED,HITHDRUGS,HITHMSS
8.0,801A,1.34,1,9.4,3.97,581,8.87,1334.22,1046.11,1179.35,708.89,1362,1023.9,9.48,6.75,8.03,325.78,260.49,205.77,99.18,192.05,181.49,10.37,3.23,2.76,1.16,2.08,1.18,1.52,1.7,1.79,3.78,131,3.44,2.44,1.7,1.13,1.56,2.54,0.94,0.25,0.06,0.08,0.41,0.15,0.34,0.24,0.74,0,1,1.33
8.0,801B,1.19,1,2.1,3.75,189,4.7,184.16,239.55,248.69,0,100,317.05,3.65,2.24,3.41,88.85,109.18,94.86,15.41,81.46,131.74,4.54,1.71,2.95,0.95,1.31,1.09,0.98,1.29,1.32,2.78,70,3.44,1.71,1.11,1,1,0.66,0.82,0.48,0.06,0.13,0.3,0.09,0.25,0.11,0.74,0,1,1.33
8.0,801C,0.84,1,8.29,3.4,85,1.4,33.14,29.14,26.01,0,30,23.24,0.8,0.65,1.63,35.56,29.98,51.38,13.96,36.14,40.28,2.74,1.21,2.33,0.6,0.89,0.9,0.76,1.04,1.1,2.12,31,1.9,0.99,0.86,1,1,0.44,0.74,0.48,0.06,0.13,0.3,0.09,0.25,0.11,0.74,0,1,1.33
8.0,960Z,0.28,1,2.83,0,0,0.81,224.99,209.84,0,0,,249.93,0.35,0.96,1.24,146.97,293.58,107.01,84.3,55.42,154.86,0.77,3.4,3.27,1.39,2.41,0.79,1.15,1.68,3.35,2.67,3,6.23,0.96,0.95,1,1,0.44,0.82,0.21,0.05,0.14,0.36,0.12,0.3,0.16,0.74,0,1,1.33
8.0,961Z,0.08,1,2.43,0,0,1.38,0,0,0,0,,0,0.48,2.36,1.51,8.34,6.68,7.73,3.57,7.27,13.52,0.13,0.4,2.22,0,0,0,0,0,0.59,0.09,0,0.31,0.25,0.27,0.4,1,0.44,0.79,0.48,0.06,0.13,0.3,0.09,0.25,0.11,0.74,0,1,1.33
8.0,963Z,1.09,1,2.43,0,0,0.24,0,0,0,0,,0,0,1.43,0.07,8.34,6.68,7.73,3.57,7.27,13.52,3.94,0.52,2.85,0,1.01,0.73,0.79,0.72,0.69,1.59,0,0.66,0.96,0.95,0.4,1,0.44,0.79,0.48,0.06,0.13,0.3,0.09,0.25,0.11,0.74,0,1,1.33
8.0,A01Z,2.63,1,59.79,27.93,1630,51.51,593.02,102.45,953.88,0,1292,230.73,14.94,53.35,29.06,144.13,190.12,80.97,3.57,168.27,95.57,25.25,4.1,2.66,0.89,2.82,1.36,0.74,1.22,2.74,51.44,274,22.13,8.87,8.78,1.2,1,0.44,1.83,0.48,0.06,0.13,0.3,0.09,0.25,0.11,0.74,0,1,1.33
8.0,A03Z,2.77,1,81.66,34.82,534,25.13,3362.38,1708.12,6392.68,524.31,2610,2812.96,17.24,56.21,39.24,748.78,1159.72,260.22,77.82,201.29,230.71,32.9,5.14,2.58,0,2,0.79,1.15,1.41,6.6,15.6,98,14.36,7.49,7.33,1.3,1,0.44,1.6,0.48,0.06,0.13,0.3,0.09,0.25,0.11,0.74,0,1,1.33
8.0,A05Z,1.54,1,138.57,37.91,620,24.29,4755.62,3158.25,9244.67,677.8,4287,3428.14,9.46,105.6,33.82,1059.05,1659.08,409.74,103.13,335.73,278.15,18.69,4.73,2.49,1.53,1.59,0.82,0.8,1.36,5.46,19.83,112,16.43,9.14,9,1.2,1,0.44,1.23,0.48,0.06,0.13,0.3,0.09,0.25,0.11,0.74,0,1,1.33
8.0,A06A,0.84,1,439.11,11.62,1310,14.04,8888.66,2895.56,7841.39,12499.52,5753,4589.66,30.91,12.94,37.66,1987.02,1411.92,474.28,641.27,470.07,489.91,10.37,6.45,3.05,1.72,2.08,1.18,1.52,2.03,3.5,20.18,252,15.46,4.93,4.86,1.13,3.01,2.54,0.49,0.48,0.06,0.13,0.3,0.09,0.25,0.11,0.74,0,1,1.33
