"DRG_VERSION","DRG_CODE","NURSEUC","ONE","CritUC","ORPUBUC","PROSPUBUC","SUPPLYUC","ALLIEDUC","OTUC","PHYSIOUC","SPTHERUC","NUTRDIETUC","SOCIALWUC","GENRADUC","PharmUC","CLINLABUC","ALLIEDC","PHYSIOC","OTC","SPTHERC","NUTRDIETC","SOCIALWC","SUPPLYC","RADC","INTERRADC","ANGIOC","ULTSNDC","NUCMEDC","MRIC","CTC","GENRADC","PHARMSTR","PROSPUBC","CLINLABC","ORPUBC","ORPUBXMC","CCU","ICU","NICU","NURSEUC_SA","snapallied","snappath","snapimag","snapnurse","snapdrugs","snapsupply","snapother"
"8.0","960Z","0.28","1","2.83","0","0","0.81","224.99","209.84","0","0","","249.93","0.35","0.96","1.24","146.97","293.58","107.01","84.3","55.42","154.86","0.77","3.4","3.27","1.39","2.41","0.79","1.15","1.68","3.35","2.67","3","6.23","0.96","0.95","1","1","0.44","0.82","0.21","0.05","0.14","0.36","0.12","0.3","0.16"
"1","191Z-960Z","0.28","1","2.83","0","0","0.81","224.99","209.84","0","0","","249.93","0.35","0.96","1.24","146.97","293.58","107.01","84.3","55.42","154.86","0.77","3.4","3.27","1.39","2.41","0.79","1.15","1.68","3.35","2.67","3","6.23","0.96","0.95","1","1","0.44","0.82","0.21","0.05","0.14","0.36","0.12","0.3","0.16"
"1","192Z-960Z","0.28","1","2.83","0","0","0.81","224.99","209.84","0","0","","249.93","0.35","0.96","1.24","146.97","293.58","107.01","84.3","55.42","154.86","0.77","3.4","3.27","1.39","2.41","0.79","1.15","1.68","3.35","2.67","3","6.23","0.96","0.95","1","1","0.44","0.82","0.21","0.05","0.14","0.36","0.12","0.3","0.16"
"1","193Z-960Z","0.28","1","2.83","0","0","0.81","224.99","209.84","0","0","","249.93","0.35","0.96","1.24","146.97","293.58","107.01","84.3","55.42","154.86","0.77","3.4","3.27","1.39","2.41","0.79","1.15","1.68","3.35","2.67","3","6.23","0.96","0.95","1","1","0.44","0.82","0.21","0.05","0.14","0.36","0.12","0.3","0.16"
"8.0","B63A","0.97","1","0.29","0","1","3.89","1029.96","894.56","490.04","356.16","376.46","2062.45","1.55","1.57","1.91","272.53","129.27","185.76","96.01","133.95","304.77","3.51","0.73","1.92","0.77","0.84","1.08","0.91","0.74","0.75","1.88","2","1.01","0.25","0.27","0.51","1","0.44","0.97","0.34","0.06","0.14","0.34","0.1","0.22","0.08"
"8.0","B67A","1.08","1","0.46","0","4","4.62","1165.38","858.17","604.75","1536.56","936","791.07","2.57","2.52","3.08","324.73","161.04","165.74","160.53","172.1","146.27","3.79","1.03","1.86","1.55","0.79","1.05","1.1","0.85","1.03","2.6","5","1.59","0.36","0.36","1","1","0.44","0.9","0.26","0.06","0.12","0.36","0.12","0.31","0.16"
"8.0","B70C","1","1","0.99","0","5","2.13","375.79","547.56","248.12","437.19","86","213.34","3.91","1.09","1.36","105.65","67.54","97.15","59.67","42.51","68.41","1.73","1.52","1.86","1.27","0.82","1.04","1.04","0.8","0.57","1.21","4","0.81","0.33","0.33","0.8","1","0.44","0.64","0.43","0.07","0.1","0.37","0.13","0.34","0.17"
"8.0","B82A","1.83","1","4.64","0","112","7.28","1203.5","1727.28","1392.32","282.63","968","1188.2","4.74","4.7","5.38","332.88","423.51","479.07","81.77","157.11","303.33","4.54","3.23","0.87","1.16","1.31","1.49","1.12","1.29","1.7","7.09","40","13.93","1.71","0.86","1","1","0.66","1.21","0.65","0.05","0.11","0.32","0.08","0.32","0.16"
"8.0","D61A","0.74","1","0.07","0","2","0.53","76.95","109.88","81.19","27.04","17","55.65","1.03","0.27","0.5","41.23","39.84","55.97","34.5","32.47","47.62","0.61","0.45","1.65","0.84","0.75","0.88","0.99","0.67","0.45","0.46","2","0.44","0.3","0.3","0.5","0.5","0.44","0.34","0.48","0.06","0.13","0.3","0.09","0.25","0.11"
"8.0","E62A","1.06","1","0.44","0","3","3.28","812.16","356.44","455","1157.52","590","386.33","2.29","2.68","3.26","207.68","110.09","101.68","115.93","116.18","104.32","2.53","1.06","1.44","0.6","0.99","0.98","0.96","1.06","1.06","3.15","4","2.18","0.35","0.35","0.7","1.18","0.44","0.98","0.25","0.06","0.13","0.36","0.13","0.31","0.16"
"8.0","E64A","0.85","1","6.87","0","3","2.21","512.54","232.07","490.58","386.25","371","359.4","1.78","1.72","2.86","135.54","118.36","79.63","61.01","101.53","82.01","1.73","0.68","1.55","0.85","1.05","1.49","0.81","1.04","0.74","1.94","3","1.3","0.35","0.35","1","1.56","0.44","0.82","0.34","0.08","0.1","0.37","0.12","0.29","0.17"
"8.0","E65A","0.94","1","0.24","0","2","3.38","490.32","430.45","477.02","286.23","413","395.33","1.63","2.46","2.78","131.46","112.91","111.53","100.14","105.09","114.45","1.98","0.63","1.45","0.42","0.99","0.96","0.74","0.98","0.66","2.14","4","1.23","0.25","0.27","0.7","0.98","0.44","0.85","0.26","0.06","0.14","0.34","0.12","0.28","0.15"
"8.0","E65B","0.86","1","1.13","0","1","1.72","174.44","159.1","231.58","34.26","90","147.29","0.79","1.37","1.33","55.42","62.94","74.68","36.68","57.77","69.77","1.27","0.41","1.49","0.64","0.86","0.91","0.58","0.88","0.47","1.51","3","0.8","0.26","0.27","0.7","0.82","0.44","0.66","0.23","0.05","0.12","0.36","0.12","0.29","0.16"
"8.0","F63A","0.93","1","0.14","0","9","2.57","307.18","270.96","213.91","128.1","229","329.12","3.07","2.35","2.48","99.7","82.81","93.73","63.38","77.54","107.41","1.72","0.93","1.37","0.65","1.13","0.96","0.77","1.11","0.67","2.51","16","1.47","0.3","0.3","0.5","1","0.44","0.81","0.23","0.06","0.13","0.4","0.14","0.38","0.2"
"8.0","F65A","0.98","1","0.35","0","4","2.44","302.36","336.71","218.42","348.78","204","240.81","3.13","1.83","2.13","109.79","75.78","130.31","207.8","67.67","96.1","2.19","1.69","1.39","0.87","1.23","0.99","1.07","1.05","0.87","2.34","5","1.61","0.49","0.49","0.8","1.26","0.44","0.79","0.24","0.06","0.14","0.37","0.13","0.33","0.17"
"8.0","G60A","1.05","1","0.19","0","4","3.52","365.75","302.37","116.55","54.95","838","523.71","2.38","2.01","2.12","109.33","55.6","103.88","28.63","117.86","129.43","1.74","0.97","1.23","0.55","0.85","0.94","1.15","1.15","0.83","2.5","4","0.9","0.53","0.52","0.8","1","0.44","1.02","0.21","0.05","0.13","0.35","0.12","0.29","0.16"
"8.0","G61A","0.89","1","0.37","0","5","1.59","117.8","92.86","103.68","58.84","99","140.22","1.17","1","1.82","51.19","52.1","56.28","54.48","50.34","66.2","0.83","0.65","1.14","1.15","0.9","1.02","0","0.88","0.65","0.84","12","0.85","0.33","0.33","0.7","1","0.44","0.84","0.26","0.06","0.12","0.4","0.14","0.35","0.2"
"8.0","G61B","0.68","1","0.37","0","1","0.62","16.49","11.73","17.19","0","17","19.49","0.47","0.29","0.8","22.51","24.96","37.22","22.34","35.32","33.35","0.37","0.49","1.23","1.53","0.67","0.65","0","0.78","0.56","0.36","3","0.54","0.29","0.29","0.7","1","0.44","0.51","0.52","0.06","0.16","0.23","0.07","0.2","0.06"
"8.0","G66B","0.65","1","0.03","0","1","0.4","6.86","3.82","5.36","0.7","8.01","12.76","1.15","0.13","0.48","19.7","19.52","24.31","9.61","24.41","38.53","0.46","0.67","0.96","1.18","0.72","0.82","0.81","0","0.65","0.6","2","0.73","0.35","0.35","0.5","1","0.44","0.33","0.2","0.04","0.14","0.31","0.1","0.25","0.14"
"8.0","H61B","0.89","1","0.19","0","8","1.36","53.62","40.69","12.21","0","145","93.68","3.15","1.16","1.41","47.42","27.52","52.74","21.76","61.33","87.33","1.01","1.76","1.03","0.99","0.74","1.07","0.82","0.95","0.65","2.08","7","1.06","0.53","0.53","0.7","1","0","0.62","0.23","0.05","0.12","0.36","0.12","0.3","0.17"
"8.0","I64B","0.94","1","0.6","0","6","1.46","71.76","120.81","99.62","0","46","66.94","1.51","0.49","0.59","43.42","65.84","110.96","18.82","59.47","60.43","0.97","1.15","1.18","0.73","0.93","0.98","0.96","0.76","0.86","0.87","9","0.61","0.47","0.47","0.7","1","0.44","0.51","0.71","0.06","0.14","0.2","0.06","0.2","0.05"
"8.0","I68A","1.1","1","0.26","0","5","2.8","409.99","533.04","495.48","90.3","174","368.8","3.88","1.57","1.83","111.44","119.22","109.6","54.55","71.25","100.56","2.39","1.52","0.72","1.11","0.89","0.99","1","1.09","1.45","2.03","5","1.13","0.34","0.35","0.8","1","0.44","0.8","0.34","0.05","0.17","0.29","0.1","0.23","0.11"
"8.0","I69B","0.75","1","0.06","0","1","0.52","69.66","121.26","96.68","0","22","65.82","0.47","0.42","0.44","44.7","52.89","74.86","11.58","44","54.38","1.14","1.01","0.8","1.66","0.82","0.89","1.1","0.93","1.14","0.76","5","0.89","0.42","0.43","0.5","1","0.44","0.36","0.73","0.07","0.12","0.21","0.05","0.2","0.04"
"8.0","I71B","0.79","1","0.11","0","2","0.45","58.24","64.7","80.94","0","7","47.11","0.83","0.19","0.52","35.43","42.86","48.63","76.2","22.62","42.65","0.77","0.77","0.6","0.89","0.97","0.91","1.04","0.78","0.89","0.67","4","0.67","0.41","0.41","0.5","1","0.44","0.34","0.58","0.06","0.19","0.26","0.08","0.26","0.08"
"8.0","I76C","0.93","1","0.19","0","3","0.56","96.23","130.28","98.59","15.71","13","102.92","1.17","0.18","0.43","54.01","53.3","65.29","33.85","36.19","64.79","1.03","0.91","0.67","1.25","0.86","1.05","0.9","1","0.92","0.62","9","0.79","0.39","0.39","0.5","1","0.4","0.38","0.49","0.06","0.13","0.3","0.09","0.25","0.11"
"8.0","J64A","0.99","1","0.15","0","3","2.8","293.36","374.13","251.3","51.16","185","326.51","1.73","2.3","2.4","103.37","88.7","119.59","43.73","75.83","107.26","2.04","0.9","0.5","0.81","1.04","0.91","0.88","0.87","0.88","2.52","6","1.5","0.41","0.41","0.5","1","0","0.85","0.49","0.07","0.17","0.28","0.07","0.2","0.08"
"8.0","K62C","1.04","1","0.94","0","1","0.97","113.33","71.07","54.05","65.14","198.47","117.78","0.58","0.49","1.02","66.77","40.21","56.33","37.43","81.36","81.55","1.43","0.65","0.44","0.57","0.82","1.05","0.84","0.88","0.67","1.5","4","1.05","0.34","0.35","0.8","0.77","0.44","0.63","0.3","0.08","0.19","0.26","0.08","0.19","0.09"
"8.0","L61Z","0.68","1","0","0","0","0.68","1.9","0.58","0.41","0.07","7","4.42","0","0.11","0.12","19.17","35.6","60.27","32.46","42.4","33.02","0.48","0.83","0.35","0.59","1.29","1.05","0.83","0.72","0.52","0.13","9","0.26","0.53","0.52","0.4","1","0","0.58","0.48","0.06","0.13","0.3","0.09","0.25","0.11"
"8.0","L63A","0.99","1","0.33","0","3","2.4","399.78","377.92","289.36","341.4","251","341.68","1.9","1.86","2.4","125.9","88.07","103.68","89.3","80.37","98.65","2.34","0.95","0.48","0.45","0.93","0.93","0.88","0.95","0.93","2.69","5","1.84","0.37","0.37","0.6","1","0","0.94","0.3","0.07","0.15","0.32","0.1","0.23","0.12"
