Hospital,NSW Role Delineation,College Intensive Care Medicine Role Delineation,CICM Role Delineation Self Reported
C213,6,3,3
C208,6,3,3
C214,5,2,3
D224,6,3,3
D203,5,2,3
D201,3,0,1
D218,3,0,1
H214,5,2,3
H223,5,2,3
H210,4,,
Q230,6,3,3
Q211,5,2,3
J216,5,2,3
J201,4,1,2
J225,4,1,2
Q206,4,1,1
P208,5,2,3
P207,4,2,2
A207,6,3,3
C238,6,3,3
A212,6,3,3
A208,6,3,3
B218,6,3,3
A237,6,3,3
D209,6,3,3
D210,6,3,3
M201,5,2,2
R219,5,2,3
L216,5,2,3
H208,5,2,3
H272,5,2,3
B202,5,2,3
B210,5,2,3
B212,5,2,3
D227,5,2,3
D215,5,2,3
N202,4,1,2
N209,4,1,2
R205,4,1,2
L201,4,1,2
S201,3,1,2
K211,4,1,2
B214,4,1,2
H212,3,0,1
B224,3,0,1
B206,3,0,1
N219,3,0,1
A202,4,0,1
D206,4,0,1
R211,3,0,0
K216,3,0,0
