DRG,MDC
801A,UN
801B,UN
801C,UN
960Z,00
961Z,00
963Z,00
A01Z,PR
A03Z,PR
A05Z,PR
A06A,PR
A06B,PR
A06C,PR
A06D,PR
A07Z,PR
A08A,PR
A08B,PR
A09A,PR
A09B,PR
A10Z,PR
A11A,PR
A11B,PR
A12Z,PR
A40Z,PR
B01A,1
B01B,1
B02A,1
B02B,1
B02C,1
B03A,1
B03B,1
B04A,1
B04B,1
B05Z,1
B06A,1
B06B,1
B07A,1
B07B,1
B40Z,1
B41Z,1
B42A,1
B42B,1
B60A,1
B60B,1
B61A,1
B61B,1
B62Z,1
B63Z,1
B64A,1
B64B,1
B65Z,1
B66A,1
B66B,1
B67A,1
B67B,1
B67C,1
B68A,1
B68B,1
B69A,1
B69B,1
B70A,1
B70B,1
B70C,1
B70D,1
B71A,1
B71B,1
B72A,1
B72B,1
B73Z,1
B74A,1
B74B,1
B75Z,1
B76A,1
B76B,1
B77Z,1
B78A,1
B78B,1
B79A,1
B79B,1
B80Z,1
B81A,1
B81B,1
B82A,1
B82B,1
B82C,1
C01Z,2
C02Z,2
C03Z,2
C04Z,2
C05Z,2
C10Z,2
C11Z,2
C12Z,2
C13Z,2
C14Z,2
C15A,2
C15B,2
C16Z,2
C60A,2
C60B,2
C61A,2
C61B,2
C62Z,2
C63Z,2
D01Z,3
D02A,3
D02B,3
D02C,3
D03Z,3
D04A,3
D04B,3
D05Z,3
D06Z,3
D10Z,3
D11Z,3
D12Z,3
D13Z,3
D14Z,3
D15Z,3
D40Z,3
D60A,3
D60B,3
D61Z,3
D62Z,3
D63Z,3
D64Z,3
D65Z,3
D66A,3
D66B,3
D67A,3
D67B,3
E01A,4
E01B,4
E02A,4
E02B,4
E02C,4
E40A,4
E40B,4
E41Z,4
E42A,4
E42B,4
E42C,4
E60A,4
E60B,4
E61A,4
E61B,4
E62A,4
E62B,4
E62C,4
E63Z,4
E64A,4
E64B,4
E65A,4
E65B,4
E66A,4
E66B,4
E66C,4
E67A,4
E67B,4
E68A,4
E68B,4
E69A,4
E69B,4
E70A,4
E70B,4
E71A,4
E71B,4
E72Z,4
E73A,4
E73B,4
E73C,4
E74A,4
E74B,4
E74C,4
E75A,4
E75B,4
E75C,4
E76Z,4
F01A,5
F01B,5
F02Z,5
F03A,5
F03B,5
F04A,5
F04B,5
F05A,5
F05B,5
F06A,5
F06B,5
F07A,5
F07B,5
F07C,5
F08A,5
F08B,5
F09A,5
F09B,5
F09C,5
F10A,5
F10B,5
F11A,5
F11B,5
F12A,5
F12B,5
F13A,5
F13B,5
F14A,5
F14B,5
F14C,5
F15A,5
F15B,5
F16A,5
F16B,5
F17A,5
F17B,5
F18A,5
F18B,5
F19Z,5
F20Z,5
F21A,5
F21B,5
F40A,5
F40B,5
F41A,5
F41B,5
F42A,5
F42B,5
F42C,5
F43Z,5
F60A,5
F60B,5
F61A,5
F61B,5
F62A,5
F62B,5
F63A,5
F63B,5
F64A,5
F64B,5
F65A,5
F65B,5
F66A,5
F66B,5
F67A,5
F67B,5
F68A,5
F68B,5
F69A,5
F69B,5
F72A,5
F72B,5
F73A,5
F73B,5
F74Z,5
F75A,5
F75B,5
F75C,5
F76A,5
F76B,5
G01A,6
G01B,6
G02A,6
G02B,6
G03A,6
G03B,6
G03C,6
G04A,6
G04B,6
G04C,6
G05A,6
G05B,6
G05C,6
G06Z,6
G07A,6
G07B,6
G10A,6
G10B,6
G11Z,6
G12A,6
G12B,6
G12C,6
G46A,6
G46B,6
G46C,6
G47A,6
G47B,6
G47C,6
G48A,6
G48B,6
G48C,6
G60A,6
G60B,6
G61A,6
G61B,6
G62Z,6
G63Z,6
G64A,6
G64B,6
G65A,6
G65B,6
G66Z,6
G67A,6
G67B,6
G70A,6
G70B,6
H01A,7
H01B,7
H02A,7
H02B,7
H02C,7
H05A,7
H05B,7
H06A,7
H06B,7
H07A,7
H07B,7
H08A,7
H08B,7
H40A,7
H40B,7
H43A,7
H43B,7
H60A,7
H60B,7
H60C,7
H61A,7
H61B,7
H62A,7
H62B,7
H63A,7
H63B,7
H64A,7
H64B,7
I01A,8
I01B,8
I02A,8
I02B,8
I03A,8
I03B,8
I04A,8
I04B,8
I05A,8
I05B,8
I06Z,8
I07Z,8
I08A,8
I08B,8
I09A,8
I09B,8
I10A,8
I10B,8
I11Z,8
I12A,8
I12B,8
I12C,8
I13A,8
I13B,8
I15Z,8
I16Z,8
I17A,8
I17B,8
I18Z,8
I19A,8
I19B,8
I20Z,8
I21Z,8
I23Z,8
I24Z,8
I25A,8
I25B,8
I27A,8
I27B,8
I28A,8
I28B,8
I29Z,8
I30Z,8
I31A,8
I31B,8
I32A,8
I32B,8
I32C,8
I60Z,8
I61A,8
I61B,8
I63A,8
I63B,8
I64A,8
I64B,8
I65A,8
I65B,8
I66A,8
I66B,8
I67A,8
I67B,8
I68A,8
I68B,8
I68C,8
I69A,8
I69B,8
I71A,8
I71B,8
I72A,8
I72B,8
I73A,8
I73B,8
I74Z,8
I75A,8
I75B,8
I76A,8
I76B,8
I77A,8
I77B,8
I78A,8
I78B,8
I79A,8
I79B,8
J01A,9
J01B,9
J06A,9
J06B,9
J07A,9
J07B,9
J08A,9
J08B,9
J09Z,9
J10Z,9
J11Z,9
J12A,9
J12B,9
J12C,9
J13A,9
J13B,9
J14Z,9
J60A,9
J60B,9
J60C,9
J62A,9
J62B,9
J63A,9
J63B,9
J64A,9
J64B,9
J65A,9
J65B,9
J67A,9
J67B,9
J68A,9
J68B,9
J68C,9
J69A,9
J69B,9
J69C,9
K01A,10
K01B,10
K02A,10
K02B,10
K03Z,10
K04A,10
K04B,10
K05A,10
K05B,10
K06A,10
K06B,10
K07Z,10
K08Z,10
K09A,10
K09B,10
K09C,10
K40A,10
K40B,10
K40C,10
K60A,10
K60B,10
K61Z,10
K62A,10
K62B,10
K63A,10
K63B,10
K64A,10
K64B,10
L02A,11
L02B,11
L03A,11
L03B,11
L03C,11
L04A,11
L04B,11
L04C,11
