"DRG_VERSION","DRG_CODE","AvgOfsnapallied","AvgOfsnappath","AvgOfsnapimag","AvgOfsnapnurse","AvgOfsnapdrugs","AvgOfsnapsupply","AvgOfsnapother"
"S3","3101",0.96,0.00,0.00,0.38,0.18,0.17,0.02
"S3","3102",0.18,0.05,0.22,0.23,0.11,0.20,0.09
"S3","3103",0.22,0.03,0.11,0.31,0.08,0.23,0.12
"S3","3104",0.12,0.02,0.12,0.37,0.11,0.30,0.15
"S3","3105",0.21,0.04,0.16,0.29,0.08,0.25,0.14
"S3","3106",0.21,0.04,0.19,0.37,0.15,0.44,0.20
"S3","3107",0.18,0.04,0.12,0.32,0.09,0.23,0.14
"S3","3108",0.22,0.07,0.08,0.40,0.14,0.32,0.17
"S3","3109",0.22,0.05,0.15,0.42,0.13,0.38,0.16
"S3","3110",0.22,0.06,0.00,0.42,0.19,0.33,0.13
"S3","3111",0.29,0.08,0.00,0.52,0.21,0.42,0.34
"S3","3112",0.97,0.00,0.00,0.38,0.18,0.17,0.02
"S3","3151",0.18,0.06,0.23,0.25,0.11,0.21,0.11
"S3","3152",0.23,0.03,0.11,0.32,0.09,0.23,0.13
"S3","3153",0.12,0.03,0.12,0.38,0.11,0.30,0.15
"S3","3154",0.21,0.05,0.16,0.31,0.10,0.26,0.14
"S3","3155",0.21,0.05,0.20,0.38,0.15,0.44,0.21
"S3","3156",0.19,0.04,0.12,0.33,0.11,0.23,0.15
"S3","3157",0.23,0.07,0.08,0.41,0.15,0.33,0.17
"S3","3158",0.22,0.07,0.16,0.42,0.13,0.39,0.16
"S3","3159",0.22,0.07,0.00,0.43,0.20,0.33,0.13
"S3","3160",0.31,0.09,0.00,0.52,0.22,0.42,0.34
"S3","3161",0.20,0.00,0.00,0.36,0.00,0.26,0.16
"S3","3162",0.00,0.00,0.00,0.00,0.03,0.02,0.00
"S3","3163",0.78,0.00,0.00,0.00,0.02,0.03,0.00
"S3","3164",0.21,0.00,0.00,0.09,0.02,0.03,0.04
"S3","3165",0.00,0.00,0.00,0.07,0.02,0.03,0.00
"S3","3166",0.00,0.00,0.00,0.09,0.03,0.04,0.00
"S3","3167",0.00,0.00,0.00,0.12,0.04,0.04,0.00
"S3","3168",0.00,0.00,0.00,0.13,0.05,0.04,0.00
"S3","3169",0.18,0.00,0.00,0.07,0.02,0.04,0.00
"S3","3170",0.28,0.02,0.00,0.08,0.01,0.04,0.04
"S3","3171",0.22,0.03,0.00,0.11,0.01,0.06,0.02
"S3","3172",0.01,0.03,0.00,0.09,0.02,0.05,0.00
"S3","3201",0.96,0.00,0.00,0.38,0.18,0.17,0.02
"S3","3202",1.54,0.04,0.06,0.45,0.04,0.40,0.25
"S3","3203",1.08,0.10,0.09,0.39,0.08,0.20,0.08
"S3","3204",1.05,0.08,0.16,0.21,0.08,0.25,0.06
"S3","3205",1.37,0.03,0.03,0.25,0.08,0.28,0.06
"S3","3206",0.90,0.05,0.08,0.23,0.07,0.23,0.06
"S3","3207",0.70,0.08,0.06,0.25,0.07,0.33,0.05
"S3","3208",0.88,0.07,0.09,0.28,0.08,0.21,0.05
"S3","3209",1.18,0.03,0.07,0.25,0.07,0.27,0.07
"S3","3210",1.17,0.05,0.25,0.21,0.11,0.22,0.19
"S3","3211",1.79,0.12,0.04,0.22,0.14,0.24,0.16
"S3","3212",1.54,0.04,0.09,0.26,0.07,0.20,0.07
"S3","3213",1.42,0.07,0.15,0.23,0.10,0.13,0.09
"S3","3214",1.39,0.02,0.07,0.27,0.05,0.21,0.10
"S3","3215",1.20,0.02,0.04,0.39,0.07,0.11,0.13
"S3","3216",0.91,0.05,0.16,0.18,0.08,0.22,0.07
"S3","3217",0.95,0.02,0.04,0.24,0.04,0.28,0.04
"S3","3218",0.97,0.06,0.15,0.27,0.10,0.25,0.07
"S3","3219",1.94,0.02,0.03,0.47,0.11,0.29,0.09
"S3","3220",0.86,0.04,0.19,0.14,0.20,0.26,0.09
"S3","3221",1.03,0.03,0.09,0.20,0.10,0.30,0.18
"S3","3222",0.87,0.03,0.05,0.30,0.07,0.46,0.26
"S3","3223",0.99,0.02,0.10,0.27,0.06,0.48,0.37
"S3","3224",0.69,0.02,0.06,0.13,0.05,0.28,0.16
"S3","3225",0.68,0.06,0.10,0.21,0.07,0.30,0.12
"S3","3226",0.87,0.07,0.27,0.17,0.06,0.22,0.04
"S3","3227",0.71,0.06,0.14,0.20,0.06,0.20,0.05
"S3","3228",0.63,0.07,0.11,0.26,0.06,0.19,0.03
"S3","3229",0.61,0.08,0.08,0.25,0.06,0.28,0.07
"S3","3230",0.56,0.07,0.12,0.29,0.05,0.18,0.09
