area_identifier,facility_identifier
X170,C101
X170,C121
X170,C122
X170,C124
X170,C125
X170,C126
X170,C127
X170,F811
X170,F961
X630,A207
X630,C238
X630,G808
X630,G811
X630,G813
X630,G822
X630,X630
X630,XCCC
X630,XMHK
X630,XNET
X630,XPSN
X690,A212
X690,D213
X690,L822
X700,A155
X700,A201
X700,A202
X700,A208
X700,A220
X700,A234
X700,A236
X700,A237
X700,A239
X700,A248
X700,A250
X700,A411
X700,A758
X700,A808
X700,A811
X700,A813
X700,A822
X700,A834
X700,A855
X700,C153
X700,X700
X710,3164
X710,C203
X710,D155
X710,D205
X710,D206
X710,D209
X710,D215
X710,D227
X710,D228
X710,D266
X710,D753
X710,D758
X710,D803
X710,D808
X710,D813
X710,D814
X710,D828
X710,E822
X710,N219
X710,X710
X720,A233
X720,C152
X720,C202
X720,C205
X720,C206
X720,C208
X720,C213
X720,C214
X720,C220
X720,C791
X720,C808
X720,C811
X720,C813
X720,C814
X720,C820
X720,C822
X720,C902
X720,C906
X720,C929
X720,C930
X720,C952
X720,X511
X720,X720
X720,XPS7
X730,P202
X730,P203
X730,P204
X730,P205
X730,P206
X730,P207
X730,P208
X730,P209
X730,P211
X730,P214
X730,P216
X730,P217
X730,P219
X730,P291
X730,P808
X730,P809
X730,P811
X730,P822
X730,X730
X740,D102
X740,D201
X740,D203
X740,D218
X740,D224
X740,D249
X740,D276
X740,D279
X740,D281
X740,D293
X740,D811
X740,D822
X740,D878
X740,X740
X740,XPH2
X740,XPRS
X740,XVDQ
X750,D204
X750,D210
X750,D214
X750,D230
X750,D232
X750,D280
X750,D311
X750,D329
X750,D888
X750,E811
X750,L213
X750,L220
X750,L720
X750,R822
X750,X750
X750,XPHW
X750,XPSW
X760,B101
X760,B208
X760,B209
X760,B210
X760,B212
X760,B214
X760,B218
X760,B219
X760,B221
X760,B224
X760,B226
X760,B227
X760,B231
X760,B232
X760,B233
X760,B241
X760,B260
X760,B359
X760,B803
X760,B804
X760,B805
X760,B808
X760,B811
X760,B813
X760,B822
X760,B909
X760,B917
X760,X760
X760,XNSH
X760,XPHO
X760,XPSO
X770,B202
X770,B203
X770,B204
X770,B206
X770,B248
X770,B818
X770,B821
X770,CPHO
X770,CPSO
X770,W822
X770,X770
X800,EXTL
X800,H234
X800,J151
X800,J201
X800,J202
X800,J203
X800,J204
X800,J205
X800,J206
X800,J207
X800,J208
X800,J211
X800,J212
X800,J213
X800,J214
X800,J215
X800,J216
X800,J217
X800,J218
X800,J219
X800,J220
X800,J221
X800,J222
X800,J223
X800,J224
X800,J225
X800,J226
X800,J229
X800,J230
X800,J232
X800,J234
X800,J235
X800,J702
X800,J703
X800,J704
X800,J707
X800,J711
X800,J717
X800,J718
X800,J719
X800,J720
X800,J722
X800,J751
X800,J811
X800,J812
X800,J813
X800,J814
X800,Q101
X800,Q102
X800,Q153
X800,Q202
X800,Q203
X800,Q205
X800,Q206
X800,Q208
X800,Q209
X800,Q210
X800,Q211
X800,Q214
X800,Q216
X800,Q217
X800,Q219
X800,Q221
X800,Q222
X800,Q223
X800,Q224
X800,Q225
X800,Q226
X800,Q229
X800,Q230
X800,Q231
X800,Q232
X800,Q233
X800,Q236
X800,Q237
X800,Q238
X800,Q239
X800,Q255
X800,Q708
X800,Q738
X800,Q758
X800,Q808
X800,Q811
X800,Q812
X800,Q822
X800,Q911
X800,Q921
X800,Q923
X810,H201
X810,H205
X810,H206
X810,H207
X810,H210
X810,H213
X810,H214
X810,H215
X810,H217
X810,H221
X810,H223
X810,H224
X810,H229
X810,H230
X810,H231
X810,H235
X810,H236
X810,H237
X810,H238
X810,H239
X810,H240
X810,H241
X810,H242
X810,H243
X810,H244
X810,H245
X810,H267
X810,H284
X810,H291
X810,H292
X810,H293
X810,H701
X810,H707
X810,H724
X810,H770
X810,H771
X810,H811
X810,H814
X810,H821
X810,H822
X810,H831
X810,X810
X820,H203
X820,H208
X820,H209
X820,H211
X820,H212
X820,H216
X820,H225
X820,H247
X820,H248
X820,H249
X820,H250
X820,H252
X820,H253
X820,H255
X820,H256
X820,H257
X820,H272
X820,H286
X820,H709
X820,H813
X820,H815
X820,H820
X820,H830
X820,J822
X820,X820
X830,N101
X830,N201
X830,N202
X830,N203
X830,N205
X830,N206
X830,N207
X830,N208
X830,N209
X830,N211
X830,N214
X830,N215
X830,N216
X830,N217
X830,N223
X830,N224
X830,N225
X830,N703
X830,N705
X830,N708
X830,N808
X830,N811
X830,N815
X830,N816
X830,N822
X830,N916
X830,X830
X840,L212
X840,L226
X840,L712
X840,M203
X840,M204
X840,M205
X840,M206
X840,M207
X840,M208
X840,M209
X840,M210
X840,M211
X840,M212
X840,M213
X840,M214
X840,M215
X840,M221
X840,M224
X840,M227
X840,M703
X840,M704
X840,M705
X840,M706
X840,M709
X840,M710
X840,M711
X840,M712
X840,M713
X840,M714
X840,M715
X840,M808
X840,M813
X840,M814
X840,M815
X840,M816
X840,M822
X840,M927
X840,M956
X840,N204
X840,N210
X840,N213
X840,N218
X840,N704
X840,N752
X840,R202
X840,R205
X840,R206
X840,R207
X840,R208
X840,R209
X840,R210
X840,R211
X840,R213
X840,R215
X840,R216
X840,R218
X840,R219
X840,R221
X840,R702
X840,R706
X840,R707
X840,R708
X840,R709
X840,R710
X840,R711
X840,R713
X840,R719
X840,R811
X840,R812
X840,R813
X840,X840
X850,5175
X850,K201
X850,K202
X850,K203
X850,K204
X850,K205
X850,K206
X850,K207
X850,K209
X850,K210
X850,K211
X850,K212
X850,K213
X850,K214
X850,K215
X850,K216
X850,K217
X850,K218
X850,K219
X850,K220
X850,K221
X850,K222
X850,K231
X850,K235
X850,K236
X850,K701
X850,K707
X850,K709
X850,K710
X850,K712
X850,K715
X850,K718
X850,K719
X850,K720
X850,K721
X850,K731
X850,K734
X850,K735
X850,K751
X850,K811
X850,K813
X850,K814
X850,K822
X850,L201
X850,L202
X850,L203
X850,L205
X850,L206
X850,L208
X850,L209
X850,L210
X850,L214
X850,L215
X850,L216
X850,L216M
X850,L217
X850,L218
X850,L219
X850,L221
X850,L222
X850,L223
X850,L224
X850,L231
X850,L251
X850,L702
X850,L708
X850,L710
X850,L714
X850,L715
X850,L718
X850,L719
X850,L721
X850,L723
X850,L724
X850,L751
X850,L818
X850,L820
X850,L903
X850,S714
X850,S715
X850,X850
X850,XPSK
X850,Z231
X860,K101
X860,M202
X860,M216
X860,M702
X860,S201
X860,S202
X860,S203
X860,S204
X860,S209
X860,S251
X860,S611
X860,S704
X860,S805
X860,S810
X860,S812
X860,S817
X860,X860
X860,XPSS
